áWbëÂí√ (551-A1),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
2.1,0.11,0.45,32.2,15.1,,,
3.1,0.17,0.42,27.4,30.2,,,
2.4,0.06,0.22,20.1,43.2,,,
2.3,0.06,0.11,10.8,54.1,,,
1.7,0.01,0.02,0.3,63.4,,,
1.1,0,0,0,0,,,
0.2,0,0,0,0,,,
0.7,0,0,0,0,,,
0.5,0,0,0,0,,,
0.3,0,0,0,0,,,
0.2,0,0,0,0,,,
0.6,0,0,0,0,,,
0.2,0,0,0,0,,,
0.1,0,0,0,0,,,
0.2,0,0,0,0,,,
0,0,0,0,0,,,
0.1,0,0,0,0,,,
-0.8,0,0,0,0,,,
-1.1,0.01,0.02,0,0,,,
-0.4,0.47,0.15,9.1,-56,,,
0.6,0.86,0.33,18.6,-45.5,,,
2.2,0.67,0.49,26.4,-32.9,,,
3.3,2.38,0.26,31.7,-18,,,
4.8,2.06,0.37,33.8,-1.6,,,
4.6,2.38,0.26,32.4,15,,,
4.6,2,0.3,27.6,30.2,,,
3.9,2.02,0.21,20.3,43.3,,,
4,0.7,0.18,11,54.2,,,
3.4,0.06,0.03,0.5,63.5,,,
1.7,0,0,0,0,,,
1.7,0,0,0,0,,,
1.4,0,0,0,0,,,
0.6,0,0,0,0,,,
1.8,0,0,0,0,,,
1.9,0,0,0,0,,,
0.9,0,0,0,0,,,
1.6,0,0,0,0,,,
1.7,0,0,0,0,,,
1.6,0,0,0,0,,,
1.7,0,0,0,0,,,
1.7,0,0,0,0,,,
0.7,0,0,0,0,,,
2,0.01,0.01,0,0,,,
1,0.06,0.1,9.2,-56.2,,,
1.4,0.06,0.2,18.7,-45.7,,,
2.5,0.06,0.31,26.5,-33,,,
3.4,0.78,0.6,31.9,-18.2,,,
2.9,0.06,0.41,34,-1.7,,,
2.6,0.06,0.38,32.6,15,,,
3.1,0.06,0.32,27.8,30.3,,,
2.9,0.11,0.26,20.5,43.3,,,
2.7,0.07,0.11,11.2,54.3,,,
2.5,0.01,0.02,0.7,63.6,,,
1.4,0,0,0,0,,,
1.2,0,0,0,0,,,
1,0,0,0,0,,,
0.8,0,0,0,0,,,
0.1,0,0,0,0,,,
-0.1,0,0,0,0,,,
-0.5,0,0,0,0,,,
-0.3,0,0,0,0,,,
-0.5,0,0,0,0,,,
-0.9,0,0,0,0,,,
-1.2,0,0,0,0,,,
-1.6,0,0,0,0,,,
-1.6,0,0,0,0,,,
